[2026-06-24 09:38:26 ] 확인: pay_amount=234,067,973,320원, remain=5,732,026,680원, total_order_qty=6,787,395
[2026-06-24 09:38:57 ] 확인: pay_amount=234,075,905,790원, remain=5,724,094,210원, total_order_qty=6,787,627
[2026-06-24 09:39:27 ] 확인: pay_amount=234,081,762,320원, remain=5,718,237,680원, total_order_qty=6,787,827
[2026-06-24 09:39:57 ] 확인: pay_amount=234,090,469,510원, remain=5,709,530,490원, total_order_qty=6,788,079
[2026-06-24 09:40:27 ] 확인: pay_amount=234,097,336,270원, remain=5,702,663,730원, total_order_qty=6,788,277
[2026-06-24 09:40:58 ] 확인: pay_amount=234,105,788,540원, remain=5,694,211,460원, total_order_qty=6,788,530
[2026-06-24 09:41:28 ] 확인: pay_amount=234,112,901,110원, remain=5,687,098,890원, total_order_qty=6,788,738
[2026-06-24 09:41:58 ] 확인: pay_amount=234,120,833,400원, remain=5,679,166,600원, total_order_qty=6,789,020
[2026-06-24 09:42:29 ] 확인: pay_amount=234,127,804,480원, remain=5,672,195,520원, total_order_qty=6,789,229
[2026-06-24 09:42:59 ] 확인: pay_amount=234,135,274,000원, remain=5,664,726,000원, total_order_qty=6,789,457
[2026-06-24 09:43:29 ] 확인: pay_amount=234,142,792,970원, remain=5,657,207,030원, total_order_qty=6,789,691
[2026-06-24 09:43:59 ] 확인: pay_amount=234,150,075,400원, remain=5,649,924,600원, total_order_qty=6,789,902
[2026-06-24 09:44:29 ] 확인: pay_amount=234,157,226,040원, remain=5,642,773,960원, total_order_qty=6,790,125
[2026-06-24 09:45:00 ] 확인: pay_amount=234,165,434,000원, remain=5,634,566,000원, total_order_qty=6,790,363
[2026-06-24 09:45:30 ] 확인: pay_amount=234,173,166,420원, remain=5,626,833,580원, total_order_qty=6,790,585
[2026-06-24 09:46:00 ] 확인: pay_amount=234,180,784,870원, remain=5,619,215,130원, total_order_qty=6,790,805
[2026-06-24 09:46:31 ] 확인: pay_amount=234,187,479,960원, remain=5,612,520,040원, total_order_qty=6,791,016
[2026-06-24 09:47:01 ] 확인: pay_amount=234,193,839,820원, remain=5,606,160,180원, total_order_qty=6,791,223
[2026-06-24 09:47:31 ] 확인: pay_amount=234,201,106,190원, remain=5,598,893,810원, total_order_qty=6,791,443
[2026-06-24 09:48:01 ] 확인: pay_amount=234,207,703,170원, remain=5,592,296,830원, total_order_qty=6,791,653
[2026-06-24 09:48:32 ] 확인: pay_amount=234,214,302,560원, remain=5,585,697,440원, total_order_qty=6,791,839
[2026-06-24 09:49:02 ] 확인: pay_amount=234,220,997,030원, remain=5,579,002,970원, total_order_qty=6,792,066
[2026-06-24 09:49:32 ] 확인: pay_amount=234,227,279,110원, remain=5,572,720,890원, total_order_qty=6,792,247
[2026-06-24 09:50:02 ] 확인: pay_amount=234,234,355,600원, remain=5,565,644,400원, total_order_qty=6,792,464
[2026-06-24 09:50:33 ] 확인: pay_amount=234,240,035,770원, remain=5,559,964,230원, total_order_qty=6,792,665
[2026-06-24 09:51:03 ] 확인: pay_amount=234,246,795,900원, remain=5,553,204,100원, total_order_qty=6,792,868
[2026-06-24 09:51:33 ] 확인: pay_amount=234,254,172,770원, remain=5,545,827,230원, total_order_qty=6,793,081
[2026-06-24 09:52:03 ] 확인: pay_amount=234,263,497,230원, remain=5,536,502,770원, total_order_qty=6,793,320
[2026-06-24 09:52:33 ] 확인: pay_amount=234,270,225,300원, remain=5,529,774,700원, total_order_qty=6,793,526
[2026-06-24 09:53:04 ] 확인: pay_amount=234,278,028,460원, remain=5,521,971,540원, total_order_qty=6,793,781
[2026-06-24 09:53:34 ] 확인: pay_amount=234,286,909,160원, remain=5,513,090,840원, total_order_qty=6,794,037
[2026-06-24 09:54:04 ] 확인: pay_amount=234,298,365,860원, remain=5,501,634,140원, total_order_qty=6,794,329
[2026-06-24 09:54:34 ] 확인: pay_amount=234,305,735,810원, remain=5,494,264,190원, total_order_qty=6,794,545
[2026-06-24 09:55:05 ] 확인: pay_amount=234,313,110,720원, remain=5,486,889,280원, total_order_qty=6,794,796
[2026-06-24 09:55:35 ] 확인: pay_amount=234,323,101,130원, remain=5,476,898,870원, total_order_qty=6,795,090
[2026-06-24 09:56:05 ] 확인: pay_amount=234,329,392,640원, remain=5,470,607,360원, total_order_qty=6,795,312
[2026-06-24 09:56:35 ] 확인: pay_amount=234,337,347,420원, remain=5,462,652,580원, total_order_qty=6,795,550
[2026-06-24 09:57:06 ] 확인: pay_amount=234,345,353,790원, remain=5,454,646,210원, total_order_qty=6,795,775
[2026-06-24 09:57:36 ] 확인: pay_amount=234,352,599,090원, remain=5,447,400,910원, total_order_qty=6,796,006
[2026-06-24 09:58:06 ] 확인: pay_amount=234,360,408,980원, remain=5,439,591,020원, total_order_qty=6,796,247
[2026-06-24 09:58:36 ] 확인: pay_amount=234,366,431,950원, remain=5,433,568,050원, total_order_qty=6,796,444
[2026-06-24 09:59:07 ] 확인: pay_amount=234,373,364,070원, remain=5,426,635,930원, total_order_qty=6,796,644
[2026-06-24 09:59:37 ] 확인: pay_amount=234,381,605,100원, remain=5,418,394,900원, total_order_qty=6,796,903
[2026-06-24 10:00:07 ] 확인: pay_amount=234,389,689,140원, remain=5,410,310,860원, total_order_qty=6,797,147
[2026-06-24 10:00:37 ] 확인: pay_amount=234,396,787,400원, remain=5,403,212,600원, total_order_qty=6,797,374
[2026-06-24 10:01:08 ] 확인: pay_amount=234,404,215,780원, remain=5,395,784,220원, total_order_qty=6,797,593
[2026-06-24 10:01:38 ] 확인: pay_amount=234,410,305,860원, remain=5,389,694,140원, total_order_qty=6,797,763
[2026-06-24 10:02:08 ] 확인: pay_amount=234,417,649,140원, remain=5,382,350,860원, total_order_qty=6,797,985
[2026-06-24 10:02:38 ] 확인: pay_amount=234,424,337,430원, remain=5,375,662,570원, total_order_qty=6,798,192
[2026-06-24 10:03:08 ] 확인: pay_amount=234,429,316,570원, remain=5,370,683,430원, total_order_qty=6,798,355
[2026-06-24 10:03:39 ] 확인: pay_amount=234,438,218,600원, remain=5,361,781,400원, total_order_qty=6,798,650
[2026-06-24 10:04:09 ] 확인: pay_amount=234,445,572,390원, remain=5,354,427,610원, total_order_qty=6,798,887
[2026-06-24 10:04:39 ] 확인: pay_amount=234,453,605,670원, remain=5,346,394,330원, total_order_qty=6,799,145
[2026-06-24 10:05:09 ] 확인: pay_amount=234,462,183,380원, remain=5,337,816,620원, total_order_qty=6,799,410
[2026-06-24 10:05:40 ] 확인: pay_amount=234,469,132,720원, remain=5,330,867,280원, total_order_qty=6,799,630
[2026-06-24 10:06:10 ] 확인: pay_amount=234,481,880,010원, remain=5,318,119,990원, total_order_qty=6,799,912
[2026-06-24 10:06:40 ] 확인: pay_amount=234,489,113,290원, remain=5,310,886,710원, total_order_qty=6,800,138
[2026-06-24 10:07:10 ] 확인: pay_amount=234,495,914,130원, remain=5,304,085,870원, total_order_qty=6,800,353
[2026-06-24 10:07:40 ] 확인: pay_amount=234,502,221,300원, remain=5,297,778,700원, total_order_qty=6,800,555
[2026-06-24 10:08:11 ] 확인: pay_amount=234,509,177,830원, remain=5,290,822,170원, total_order_qty=6,800,762
[2026-06-24 10:08:41 ] 확인: pay_amount=234,516,754,560원, remain=5,283,245,440원, total_order_qty=6,800,986
[2026-06-24 10:09:11 ] 확인: pay_amount=234,523,978,580원, remain=5,276,021,420원, total_order_qty=6,801,223
[2026-06-24 10:09:41 ] 확인: pay_amount=234,530,653,670원, remain=5,269,346,330원, total_order_qty=6,801,426
[2026-06-24 10:10:12 ] 확인: pay_amount=234,536,853,620원, remain=5,263,146,380원, total_order_qty=6,801,624
